character_chosen,card_name,n_offered,pick_rate,win_rate_lift,floors_gained_lift
DEFECT,Auto Shields+1,84495,0.33241020178708797,-0.13883843410003133,0.3643346373264311
WATCHER,Sanctity+1,64933,0.3261053701507708,0.0036332295155824257,1.5027995415161204
WATCHER,TalkToTheHand,313725,0.46700772969957766,0.03294986802182398,2.121225232185129
THE_SILENT,Doppelganger+1,20763,0.23744160285122573,0.02511387556915362,0.45566875818075303
THE_SILENT,Malaise+1,21031,0.3242832009890162,0.062153084090202315,1.2646815867514931
WATCHER,Wallop+1,65822,0.46987329464312844,-0.011902873030495975,1.7629090946371004
WATCHER,Nirvana+1,63227,0.18645515365271165,-0.06836235073946306,-0.796597589355251
WATCHER,Bandage Up,11148,0.478740581270183,-0.1273660690232099,1.359227605105124
IRONCLAD,Backflip+1,1234,0.5016207455429498,0.019675059432339104,0.17422540945926457
IRONCLAD,Flash of Steel+1,3100,0.522258064516129,0.010801425843263268,0.32223357087656446
IRONCLAD,Sword Boomerang,1811337,0.16103574321067807,-0.025720256895911703,1.7708691036570947
DEFECT,Rainbow,328892,0.3535932768203544,-0.05117121531854674,0.5673292647954931
DEFECT,Blizzard+1,83470,0.23495866778483288,0.020224020973211854,0.2845859762386951
WATCHER,SignatureMove+1,65370,0.19935750344194586,-0.10753334308718782,1.004228095365674
DEFECT,Sweeping Beam+1,261389,0.21711319145029057,-0.11678486061362067,1.3669876428515018
DEFECT,Forethought,16340,0.1561811505507956,-0.09008753693412017,-0.259586501551027
DEFECT,Core Surge+1,16383,0.4933772813282061,-0.0324061804560814,0.6112563628260403
IRONCLAD,Exhume+1,24247,0.33146368622922423,0.03906953474050501,-1.575157194397871
IRONCLAD,Apotheosis,26120,0.73395865237366,0.019526175336829432,7.5560806630697925
THE_SILENT,Cloak And Dagger,1232399,0.3595101910988243,-0.029926918221425347,1.634545379900679
THE_SILENT,Eviscerate+1,101098,0.12741102692437042,-0.051698154353495174,0.24071224325647833
WATCHER,WaveOfTheHand,312733,0.1690419623128995,-0.03868236491390953,-1.673214507636498
DEFECT,Glacier+1,85288,0.5124284776287402,0.015570256573005703,1.993832878103964
WATCHER,Prostrate+1,172033,0.3778693622735173,-0.11022248840248111,-0.02209228816769304
DEFECT,Electrodynamics+1,21547,0.7168051236831113,-0.055751246824911005,3.7942719956912505
WATCHER,Dark Shackles+1,1621,0.4355336212214682,-0.09165157355377013,-0.30146287094227375
DEFECT,The Bomb,12960,0.39753086419753086,-0.07096082374503615,0.6529471286019763
IRONCLAD,Evaluate,2314,0.26836646499567846,-0.08254886798249494,-0.002422592602103535
THE_SILENT,Prepared,1460779,0.18770806535417062,-0.017816113789573235,-1.065638127223309
IRONCLAD,Second Wind+1,119826,0.2037621217431943,-0.011139298382932594,0.35568031955760127
IRONCLAD,Burning Pact,634309,0.16054635832062922,0.008464438571365723,-1.7246124984945261
DEFECT,Blizzard,437384,0.15799846359263256,0.011567134828450037,-0.2858923661207946
WATCHER,JustLucky+1,185215,0.19801851901843803,-0.08995104024398426,0.5437336448369319
WATCHER,Tantrum+1,65725,0.4106047926968429,-0.02843501136898341,2.3314688330871682
IRONCLAD,Headbutt,1806252,0.18696173069981376,-0.04405416505119006,1.9833270178077527
THE_SILENT,Setup+1,69087,0.15261916134728676,-0.1139982330666664,-0.5959141380638808
DEFECT,Turbo,1229779,0.12314001133537002,-0.021017072579479407,-0.8771822595999446
IRONCLAD,Havoc+1,260400,0.12782258064516128,-0.02161630897394845,0.6865651727598632
WATCHER,Omniscience+1,16296,0.4007118311242023,0.0887846982326721,-0.013951142805975536
WATCHER,Perseverance+1,65425,0.37517768437141763,-0.09705492976554625,0.6049216087094749
WATCHER,Madness,11964,0.2934637245068539,-0.04284147542177269,-0.07806955631795631
THE_SILENT,Good Instincts+1,2290,0.35109170305676857,-0.05757216608746307,-0.4247186008048587
IRONCLAD,Disarm,633736,0.2857530580557204,0.0028407551940852482,0.5928987771979273
DEFECT,Hologram,1375827,0.16111037216161625,-0.000445619453899343,0.11514347825684013
DEFECT,Go for the Eyes+1,261800,0.2910198624904507,-0.04815517720544743,1.493188087102041
DEFECT,Core Surge,273519,0.4304125124762814,-0.02526309502502211,0.5399789785670706
IRONCLAD,Infernal Blade,634316,0.2979130275761608,-0.056630423749186226,1.258157019341887
THE_SILENT,Backstab+1,102254,0.5479981223228431,-0.11962798037724243,1.2699125394209858
DEFECT,Machine Learning,333147,0.35017874992120596,0.002135259968194858,-0.13827799324857892
IRONCLAD,Magnetism,22088,0.27132379572618615,-0.03397844238595232,-3.4315684856937025
WATCHER,Blind,11440,0.27797202797202797,-0.03657011893340645,0.17133643991654957
DEFECT,Loop,438361,0.542016739627841,-0.027506981237272354,-0.24888527544033678
IRONCLAD,Carnage+1,121231,0.25719494188780095,-0.10437631098204064,0.9691757968182646
DEFECT,Ball Lightning+1,263072,0.39023157158496535,-0.13128780220420783,1.290738145981683
IRONCLAD,Hemokinesis+1,120825,0.12780467618456445,-0.11981825176300476,0.6533150608925418
DEFECT,Meteor Strike+1,17354,0.19511351849717645,0.01173955793987641,-0.927792510634383
WATCHER,EmptyMind+1,65218,0.28743598393081665,0.022148641954158,1.4461762102523341
DEFECT,Mind Blast,13924,0.24044814708417123,-0.08155172460538235,-0.11272338171952612
IRONCLAD,Deep Breath+1,2995,0.3131886477462437,0.07360741262090131,0.79371183529536
WATCHER,Adaptation+1,64084,0.45560514324948503,0.012460751124347635,1.7410067302470829
IRONCLAD,Feed+1,32692,0.5298238101064481,-0.06763477017152097,2.049929013399364
IRONCLAD,Chrysalis,19052,0.29251522149905523,-0.0024700051453392935,-4.9784659343487405
IRONCLAD,Go for the Eyes,2251,0.2372278987116837,-0.09420010077676638,0.8961421257790025
THE_SILENT,Dark Shackles+1,2232,0.44713261648745517,-0.022833349031937455,0.061555850761491726
WATCHER,Madness+1,1576,0.39276649746192893,-0.0579625006119352,-0.002898462650009037
IRONCLAD,Reckless Charge,630278,0.11236470255982281,-0.06420250871480922,0.3543013993734938
IRONCLAD,Rampage,637039,0.3498686893581084,-0.09317444694576978,2.0071925106183954
DEFECT,Amplify,325500,0.2601505376344086,0.0002076968910583732,-1.8064504779403343
WATCHER,Panacea,12883,0.3561282310020958,0.013317967095018923,-1.5606397274016715
DEFECT,Sadistic Nature,12928,0.15872524752475248,-0.004698364766888452,-3.8165580167573925
DEFECT,White Noise+1,84935,0.6700300229587332,-0.004262625967828837,0.8515575395503134
IRONCLAD,Consecrate+1,1292,0.4582043343653251,-0.17866795366795368,-0.38518339768339693
WATCHER,Sadistic Nature,8994,0.1479875472537247,-0.07623428432877724,-3.494440633237879
IRONCLAD,Dagger Spray,2253,0.23879272081668887,-0.12465887045205762,0.9227806257925373
THE_SILENT,Backflip,1462024,0.3144708978785574,0.012859905146051398,1.154732612332424
THE_SILENT,Finisher+1,101466,0.3100053219797765,-0.06419545475471877,0.31953308624769683
IRONCLAD,Immolate,405303,0.407285413628816,-0.07037923176578556,2.512528312993684
WATCHER,FearNoEvil+1,65716,0.4300931280053564,-0.06920542793313039,2.0743634293635633
IRONCLAD,Mind Blast,21460,0.2276328052190121,-0.08404927201964951,-0.411409569417879
DEFECT,Panacea+1,2176,0.4806985294117647,-0.008338550567691505,0.6641059916411454
IRONCLAD,Jack Of All Trades,22321,0.2674611352537969,-0.07813731778374883,1.3034682617417097
THE_SILENT,Endless Agony+1,101542,0.2744283153768884,-0.10679760920783637,0.5563194851434066
DEFECT,Consume,437686,0.2471063730619668,0.0029694693341707212,-0.9875031891962998
THE_SILENT,Deflect+1,276984,0.3594106518788089,-0.08943768942071634,0.06987158627766199
IRONCLAD,Pummel+1,121406,0.3256428842067114,-0.016064672880980124,0.8540739322877773
IRONCLAD,Purity+1,2912,0.21462912087912087,0.03846576300830784,0.5635064276344561
DEFECT,Reprogram,434150,0.04187032131751699,-0.0714788292246246,-3.5863417477075146
DEFECT,Storm,436588,0.3442444593071729,0.0037166409861803806,-0.06442119572223959
WATCHER,Wallop,313034,0.38215018176939247,0.012672698149775036,3.4889651471855636
IRONCLAD,Immolate+1,26787,0.4147534251689252,-0.08111596577786245,2.4571110182396687
THE_SILENT,Adrenaline+1,21870,0.7228623685413809,0.10627807832506064,0.9564368407140904
DEFECT,Fusion+1,84060,0.32830121341898644,-0.08322970332772556,-0.015900924371967662
THE_SILENT,Madness+1,2296,0.40853658536585363,-0.04105027147033613,-0.4440463367990688
DEFECT,Jack Of All Trades,14416,0.2624861265260821,-0.08945331577097027,0.9881714541604829
THE_SILENT,Consecrate,1418,0.3617771509167842,-0.18867026375022888,0.9493500479252148
IRONCLAD,Dual Wield,633147,0.18870183385532902,-0.035706459294467,-1.969558270230415
THE_SILENT,Quick Slash+1,271586,0.21418629826279706,-0.12089879815073462,0.7392463432603975
DEFECT,Cold Snap,1386645,0.31845209119854034,-0.027730586288872067,3.7669580331514254
THE_SILENT,Burst,315055,0.457196362539874,0.005271092091219537,-0.7670112746154736
DEFECT,Genetic Algorithm,435582,0.3692278376976092,-0.05272483677231421,1.9450615793117052
THE_SILENT,Adrenaline,326218,0.6790735029949297,0.06583718603512839,1.4892568612415502
DEFECT,Storm+1,84672,0.4839380196523054,0.02221244690696761,1.27883546625287
IRONCLAD,Blood for Blood,631500,0.17761203483768803,-0.05432887963732058,1.2225916085977708
IRONCLAD,Battle Trance,634348,0.3864219639693039,0.024849707504843943,1.8086569526542746
IRONCLAD,Shrug It Off,1816261,0.4107768652192609,-0.017635218888394505,1.3821594787066829
THE_SILENT,Deadly Poison+1,278363,0.41693041101008393,-0.10803831047320878,0.7283528810045592
IRONCLAD,Dark Embrace,635545,0.12193471744723033,0.015022766309498115,-2.5336275105227877
WATCHER,SandsOfTime,313957,0.3613902540793803,-0.05473776547018033,2.7179247994477223
WATCHER,CutThroughFate,897114,0.23973876229776817,-0.011129515589894806,3.1663947793392637
DEFECT,BootSequence,438265,0.3766031966960629,-0.020937703227418253,1.1945078023566573
DEFECT,Echo Form+1,20092,0.6915687835954609,-0.00802873716361957,-0.2430179944642319
THE_SILENT,Escape Plan,539924,0.3307132114890244,0.026987544583666034,-0.1987798540433552
THE_SILENT,Crippling Poison,540958,0.47424384148122406,-0.027163376678556395,2.6079725473394326
THE_SILENT,A Thousand Cuts,310782,0.40925793643132485,-0.04851283794554981,-0.3274017629365247
THE_SILENT,Blur+1,104290,0.543129734394477,0.015716289553126817,0.8306777185390501
DEFECT,Rebound,1297321,0.11627345892034431,-0.06651068776858123,0.7888343358775209
IRONCLAD,Heavy Blade,1716069,0.25978792228051434,-0.020901226186470695,0.9970299914229379
DEFECT,Coolheaded+1,265840,0.3556424917243455,0.04339623985133262,2.0685660881296464
WATCHER,Protect+1,185331,0.3009318462642515,-0.06285839733398407,0.663919125946034
THE_SILENT,Sadistic Nature,15168,0.47718881856540085,-0.020948009088922914,-1.4594419532333731
IRONCLAD,Bludgeon+1,31570,0.3286981311371555,-0.0852188176032076,0.6953643742819473
IRONCLAD,Transmutation,19816,0.23264029067420267,-0.018003511001337236,-3.989107393673521
THE_SILENT,Trip,18303,0.2879855761350598,-0.06300357632872877,2.315553841810692
WATCHER,LessonLearned+1,16464,0.4427842565597668,-0.08096804262538337,3.3494756607732903
WATCHER,Wish+1,12373,0.44605188717368466,0.026359162577768713,-0.19087125236198688
DEFECT,Secret Technique+1,1134,0.4656084656084656,0.05344284428442847,0.12057455745574508
IRONCLAD,Pummel,637295,0.23705191473336523,-0.010599581889225329,1.0771658516586378
THE_SILENT,Slice,1463529,0.174958610317937,-0.0669169874508663,0.23744247091072523
IRONCLAD,Warcry+1,343611,0.25966572665019455,0.005427610676797201,0.7606599885963234
WATCHER,Pray,313299,0.25894752297326196,-0.07802069630804984,-1.7761341435943372
WATCHER,Wireheading+1,47993,0.26620548830037716,-0.028891198391424067,0.8805790048563562
IRONCLAD,PanicButton+1,2838,0.20613107822410148,-0.007363401504546618,-0.4110143739970642
IRONCLAD,Double Tap+1,31757,0.530717637056397,-0.05241310842670027,-0.05066395856449901
IRONCLAD,Panache,21631,0.3867135130137303,0.018697677905821275,-4.590895510673191
IRONCLAD,Finesse,27772,0.40458015267175573,0.04661185201413043,-0.185584796122356
IRONCLAD,Barricade+1,28134,0.4967299353095898,-0.01611028643387058,0.2994629331761267
THE_SILENT,Finesse+1,2411,0.4960597262546661,0.06981020410972105,0.7160252969431706
IRONCLAD,Sentinel,505122,0.11872181374004696,0.002735472591024496,-2.1634723197792134
THE_SILENT,PiercingWail+1,278889,0.35343093488807376,-0.03164137440005388,0.7992866796576745
DEFECT,Streamline,1383111,0.19944024738433863,-0.07091428621917772,2.006029075893469
WATCHER,Wireheading,241491,0.21080702800518447,-0.034034773726177164,-0.25693169975970065
DEFECT,Stack+1,264312,0.20886679378915826,-0.06770911934871054,-0.5184347278142507
WATCHER,Establishment,235362,0.36587469515044907,-0.07334115746726799,-1.2494745664035136
DEFECT,Buffer+1,21451,0.6080835392289404,0.0461939819064785,0.5852789856527529
WATCHER,Discovery,10265,0.3653190452995616,-0.07053241238168328,1.947548119723713
